employee_id,basic,hra,allowances,deductions,lop_days,net_pay
EMP001,60000,24000,6000,9000,0,81000
EMP002,45000,18000,4500,6750,0,60750
EMP003,80000,32000,8000,12000,0,108000
EMP004,35000,14000,3500,5250,0,47250
EMP005,55000,22000,5500,8250,0,74250
EMP006,70000,28000,7000,10500,0,94500
EMP007,40000,16000,4000,6000,0,54000
EMP008,90000,36000,9000,13500,0,121500
EMP009,30000,12000,3000,4500,0,40500
EMP010,65000,26000,6500,9750,0,87750
EMP011,50000,20000,5000,7500,0,67500
EMP012,75000,30000,7500,11250,0,101250
EMP013,38000,15200,3800,5700,0,51300
